species,trophic_level,Lmax,K,tm,habitat_dummy,site,mu,lower95,upper95,nutrient
Parupeneus rubescens,3.5,3.761200116,-1.171182982,2.2,0,M1,0.655912954,0.214658086,1.342308729,Fe
Epinephelus fasciatus,0.270385935,-0.313021581,-0.940132038,1.317824158,0,M1,33.4632217,21.46360071,45.62334672,Se
Hipposcarus harid,-1.429614065,0.315587078,-0.671868052,0.417824158,0,M1,19.32098505,12.61203394,27.16513206,Se
Plectorhinchus vittatus,0.200385935,0.274765084,-0.940132038,1.417824158,0,M1,29.54945132,18.7698316,38.84997042,Se
Lutjanus rivulatus,0.670385935,0.380125599,-0.414038942,-0.582175842,0,M1,36.84399735,24.36078938,49.01771701,Se
Parupeneus trifasciatus,0.070385935,-0.446552974,0.105836517,-1.582175842,0,M1,34.84202423,24.51280676,45.06954303,Se
Aethaloperca rogaa,0.770385935,0.092443527,-0.614709638,0.117824158,0,M1,38.51915495,25.61352455,52.26802149,Se
Epinephelus tukula,0.770385935,1.296416331,-0.940132038,1.217824158,0,M1,30.21025753,17.31198586,44.16352671,Se
Cheilinus trilobatus,0.470385935,-0.195238546,-0.560642417,0.117824158,0,M1,36.44623316,24.63275308,48.29944326,Se
Lutjanus fulviflamma,0.370385935,-0.446552974,0.994728275,-2.582175842,0,M1,34.02578742,23.3558159,45.12537562,Se
Lethrinus obsoletus,0.470385935,0.092443527,0.132504764,-1.582175842,0,M1,35.62185453,24.84643521,46.56979478,Se
Parupeneus cyclostomus,0.770385935,-0.08987803,-0.20924453,-0.982175842,0,M1,40.65421835,26.90736441,53.99985697,Se
Anyperodon leucogrammicus,0.470385935,0.172486235,-0.671868052,0.317824158,0,M1,34.58396182,23.63369085,46.05286831,Se
Halichoeres scapularis,0.070385935,-1.006168762,0.622052989,-2.282175842,0,M1,36.25751281,24.03634735,48.06431011,Se
Plectorhinchus schotaf,0.200385935,0.380125599,-0.866024066,1.017824158,0,M1,29.90471215,20.15035935,39.83949918,Se
Lutjanus argentimaculatus,0.170385935,1.008734259,-0.560642417,-0.282175842,0,M1,28.87558754,19.07940588,39.33223876,Se
Epinephelus spilotoceps,0.460385935,-0.446552974,-0.103884014,-1.082175842,0,M1,38.8032881,26.10268646,50.75053703,Se
Macolor niger,0.570385935,0.315587078,-0.509349122,-0.282175842,0,M1,35.82654085,24.41158203,47.74728639,Se
Parupeneus rubescens,0.070385935,-0.24070092,-0.071094191,-1.282175842,0,M1,34.02667002,24.22815833,43.85590028,Se
Epinephelus fasciatus,0.285719496,-0.293413517,-0.951181542,1.295012566,0,M1,2.174478198,1.185042094,3.131763744,Zn
Hipposcarus harid,-1.414280504,0.335195142,-0.682917555,0.395012566,0,M1,1.843232039,1.100109976,2.610378161,Zn
Plectorhinchus vittatus,0.215719496,0.294373148,-0.951181542,1.395012566,0,M1,1.842085892,1.12308405,2.544670019,Zn
Lutjanus rivulatus,0.685719496,0.399733663,-0.425088446,-0.604987434,0,M1,1.302659619,0.81455662,1.808147716,Zn
Parupeneus trifasciatus,0.085719496,-0.42694491,0.094787014,-1.604987434,0,M1,1.463393187,0.951869891,2.041517284,Zn
Aethaloperca rogaa,0.785719496,0.112051591,-0.625759141,0.095012566,0,M1,1.55772477,0.967048997,2.138122288,Zn
Epinephelus tukula,0.785719496,1.316024395,-0.951181542,1.195012566,0,M1,1.245668601,0.649789488,1.972505297,Zn
Cheilinus trilobatus,0.485719496,-0.175630482,-0.57169192,0.095012566,0,M1,1.730151032,1.102689134,2.409810474,Zn
Lutjanus fulviflamma,0.385719496,-0.42694491,0.983678771,-2.604987434,0,M1,1.063233733,0.658372406,1.521243025,Zn
Lethrinus obsoletus,0.485719496,0.112051591,0.121455261,-1.604987434,0,M1,1.18280115,0.773279402,1.649965385,Zn
Parupeneus cyclostomus,0.785719496,-0.070269966,-0.220294033,-1.004987434,0,M1,1.381517231,0.8881057,1.920275325,Zn
Anyperodon leucogrammicus,0.485719496,0.192094299,-0.682917555,0.295012566,0,M1,1.60924178,1.026760481,2.204470095,Zn
Halichoeres scapularis,0.085719496,-0.986560698,0.611003486,-2.304987434,0,M1,1.456606254,0.836255253,2.156504387,Zn
Plectorhinchus schotaf,0.215719496,0.399733663,-0.877073569,0.995012566,0,M1,1.7020434,1.078481466,2.364423956,Zn
Lutjanus argentimaculatus,0.185719496,1.028342323,-0.57169192,-0.304987434,0,M1,1.185240894,0.691767452,1.776882669,Zn
Epinephelus spilotoceps,0.475719496,-0.42694491,-0.114933517,-1.104987434,0,M1,1.537950982,0.956838766,2.147437423,Zn
Macolor niger,0.585719496,0.335195142,-0.520398626,-0.304987434,0,M1,1.404444051,0.898926877,1.93614585,Zn
Parupeneus rubescens,0.085719496,-0.221092856,-0.082143695,-1.304987434,0,M1,1.46613079,0.969274237,2.012622313,Zn
Epinephelus fasciatus,0.502399481,-0.296040322,-0.870152993,1.312915394,0,M1,0.1694575,0.121411597,0.229378669,omega3
Hipposcarus harid,-1.197600519,0.332568338,-0.601889006,0.412915394,0,M1,0.12174064,0.083216985,0.168556502,omega3
Plectorhinchus vittatus,0.432399481,0.291746343,-0.870152993,1.412915394,0,M1,0.157007629,0.112437005,0.209206165,omega3
Lutjanus rivulatus,0.902399481,0.397106859,-0.344059897,-0.587084606,0,M1,0.152575859,0.110851558,0.205787938,omega3
